CATEGORIA,INFRAESTRUCTURA,ZONA,LATITUD,LONGITUD,Geo_Loc,Coordenadas,barrio_osm,municipio_osm,departamento_osm
SEGURIDAD / ATENCIÓN SOCIAL,COMISARIA DE FAMILIA,URBANA,9.5241894019,-75.58249197638,POINT (-75.5824919763774 9.52418940189782),"9.52418940189782,-75.5824919763774",Calle Nueva,Tolú,Sucre
EDUCACIÓN,INSTITUCIÓN EDUCATIVA SANTA TERESITA SEDE 3,URBANA,9.52584646315,-75.58365904212,POINT (-75.5836590421237 9.52584646314881),"9.52584646314881,-75.5836590421237",Centro,Tolú,Sucre
ESCENARIO DEPORTIVO,ESTADIO DE SOFTBOL CESAR TOUS CARABALLO,URBANA,9.51795222343,-75.58065724495,POINT (-75.5806572449542 9.51795222343201),"9.51795222343201,-75.5806572449542",El Palmar,Tolú,Sucre
EDUCACIÓN,INTITUCION EDUCATIVA NUEVA ERA SEDE EL PALMAR,RURAL,9.48681744923,-75.56977126073,POINT (-75.5697712607316 9.48681744922552),"9.48681744922552,-75.5697712607316",,Tolú,Sucre
EQUIPAMIENTO FUNERARIO,CEMENTERIO PUBLICO MUNICIPAL,URBANA,9.52591503615,-75.58027015243,POINT (-75.5802701524263 9.52591503615218),"9.52591503615218,-75.5802701524263",El Progreso,Tolú,Sucre
ESCENARIO DEPORTIVO,PISTA DE PATINAJE,URBANA,9.51839027202,-75.57902717043,POINT (-75.579027170434 9.51839027202368),"9.51839027202368,-75.579027170434",Urbanización Golfo de Morrosquillo,Tolú,Sucre
EDUCACIÓN,INTITUCION EDUCATIVA EDUCATIVO NUEVA ERA SEDE PRINCIPAL,RURAL,9.49224261269,-75.51786024369,POINT (-75.5178602436866 9.49224261269115),"9.49224261269115,-75.5178602436866",,Tolú,Sucre
EDUCACIÓN,INTITUCION EDUCATIVA PITA EN MEDIO - SEDE PRINCIPAL,RURAL,9.64472570001,-75.49389462338,POINT (-75.4938946233847 9.64472570001295),"9.64472570001295,-75.4938946233847",,Tolú,Sucre
EDUCACIÓN,INTITUCION EDUCATIVA JOSE YEMAIL TOUS - SEDE SAN ISIDRO,URBANA,9.5316446286,-75.5804053378,POINT (-75.5804053378 9.53164462860307),"9.53164462860307,-75.5804053378",La Esperanza,Tolú,Sucre
CENTRO DE DESARROLLO INFANTIL,CDI LA ESPERANZA DE LOS NIÑOS,URBANA,9.5290429339,-75.57772197418,POINT (-75.5777219741769 9.52904293389563),"9.52904293389563,-75.5777219741769",Urbanización Maravilla,Tolú,Sucre
EDUCACIÓN,INTITUCION EDUCATIVA LUIS PATRON SEDE MANUEL GONZALEZ HERAZO,URBANA,9.52118122265,-75.57919058859,POINT (-75.5791905885858 9.52118122265064),"9.52118122265064,-75.5791905885858",Urbanización Golfo de Morrosquillo,Tolú,Sucre
EDUCACIÓN,FUNDACION EDUCATIVA JABES,URBANA,9.51966415199,-75.58598689781,POINT (-75.5859868978089 9.51966415199429),"9.51966415199429,-75.5859868978089",Mafufo,Tolú,Sucre
EDUCACIÓN,INTITUCION EDUCATIVA SANTA TERESITA - SEDE PRINCIPAL,URBANA,9.52369869463,-75.58354496716,POINT (-75.5835449671582 9.52369869462653),"9.52369869462653,-75.5835449671582",Centro,Tolú,Sucre
EDUCACIÓN,INSTITUTO PEDAGOGICO DEL GOLFO,URBANA,9.52812722962,-75.58252613409,POINT (-75.582526134094 9.52812722961906),"9.52812722961906,-75.582526134094",El Cangrejo,Tolú,Sucre
SEGURIDAD,INSPECCION DE POLICIA,URBANA,9.5241894019,-75.58249197638,POINT (-75.5824919763774 9.52418940189782),"9.52418940189782,-75.5824919763774",Calle Nueva,Tolú,Sucre
CONTROL Y VIGILANCIA / DERECHOS HUMANOS,PERSONERIA MUNICIPAL,URBANA,9.5228732703,-75.5822426843,POINT (-75.5822426842986 9.52287327029899),"9.52287327029899,-75.5822426842986",Calle Nueva,Tolú,Sucre
ESPACIO PÚBLICO,PARQUE BETANIA,URBANA,9.51553167912,-75.5829110241,POINT (-75.5829110241017 9.51553167912341),"9.51553167912341,-75.5829110241017",Urbanización Betania,Tolú,Sucre
EDUCACIÓN,INSTITUCION EDUCATIVA SANTA TERESITA  SEDE PRIMERA,URBANA,9.52334045344,-75.58186648168,POINT (-75.5818664816771 9.52334045344253),"9.52334045344253,-75.5818664816771",Calle Nueva,Tolú,Sucre
EDUCACIÓN,FUNDACION EDUCATIVA JEAN PIAGET,URBANA,9.52063572804,-75.5834044708,POINT (-75.5834044707978 9.52063572803664),"9.52063572803664,-75.5834044707978",Urbanización Golfo de Morrosquillo,Tolú,Sucre
ESCENARIO DEPORTIVO,ESTADIO DE FUTBOL,URBANA,9.52310647729,-75.57399255711,POINT (-75.5739925571129 9.52310647729408),"9.52310647729408,-75.5739925571129",El Edén,Tolú,Sucre
EDUCACIÓN,INTITUCION EDUCATIVA PUERTO VIEJO SEDE PALO BLANCO,RURAL,9.47734618619,-75.60084524178,POINT (-75.6008452417788 9.47734618618822),"9.47734618618822,-75.6008452417788",,Tolú,Sucre
INFRAESTRUCTURA DE TRANSPORTE,AEROPUERTO GOLFO DE MORROSQUILO,URBANA,9.51442363065,-75.58605411438,POINT (-75.5860541143767 9.51442363065399),"9.51442363065399,-75.5860541143767",El Progreso,Tolú,Sucre
"CIENCIA, TECNOLOGÍA E INNOVACIÓN",LABORATORIO DE INVESTIGACION Y DESARROLLO DE TOLU - IDTOLU,URBANA,9.51088757856,-75.58058381924,POINT (-75.5805838192435 9.51088757856396),"9.51088757856396,-75.5805838192435",Tolú Nuevo,Tolú,Sucre
SEGURIDAD,ESTACION DE POLICIA,URBANA,9.52352952332,-75.58223441135,POINT (-75.5822344113478 9.52352952332221),"9.52352952332221,-75.5822344113478",El Progreso,Tolú,Sucre
EDUCACIÓN,INTITUCION EDUCATIVA PITA ABAJO SEDE PRINCIPAL,RURAL,9.63216204364,-75.5111863956,POINT (-75.5111863956 9.63216204364002),"9.63216204364002,-75.5111863956",,Tolú,Sucre
ESPACIO PÚBLICO,PARQUE DE LAS COLOMBINAS,URBANA,9.51933540332,-75.58144747842,POINT (-75.5814474784179 9.5193354033174),"9.5193354033174,-75.5814474784179",Ciudadela el Golfo,Tolú,Sucre
ESPACIO PÚBLICO,PARQUE RECREATIVO MANUEL GONZÁLEZ HERAZO (POLICIA),URBANA,9.52367638759,-75.58202789172,POINT (-75.5820278917221 9.52367638759188),"9.52367638759188,-75.5820278917221",El Progreso,Tolú,Sucre
EDUCACIÓN,INSTITUTO FREINET PRE ESCOLAR Y PRIMARIA,URBANA,9.52355497011,-75.57968924134,POINT (-75.5796892413411 9.5235549701125),"9.5235549701125,-75.5796892413411",Ciudadela el Golfo,Tolú,Sucre
EDUCACIÓN,INSTITUTO FREINTE,URBANA,9.5246023009,-75.58272070408,POINT (-75.5827207040782 9.52460230089717),"9.52460230089717,-75.5827207040782",El Edén,Tolú,Sucre
ADMINISTRACIÓN PÚBLICA,CENTRO ADMINISTRATIVO MUNICIPAL (CONSTRUCCION),URBANA,9.50978834653,-75.5772978139,POINT (-75.5772978139048 9.50978834653173),"9.50978834653173,-75.5772978139048",Tolú Nuevo,Tolú,Sucre
EDUCACIÓN,INTITUCION EDUCATIVA JOSE YEMAIL TOUS - SEDE ALEGRIA,URBANA,9.57462232979,-75.57193880799,POINT (-75.5719388079894 9.57462232978627),"9.57462232978627,-75.5719388079894",,Tolú,Sucre
ADMINISTRACIÓN PÚBLICA,PALACIO MUNICIPAL,URBANA,9.52413376409,-75.58472447669,POINT (-75.5847244766944 9.52413376409301),"9.52413376409301,-75.5847244766944",Centro,Tolú,Sucre
CULTURA,BIBLIOTECA PUBLICA MUNICIPAL HECTOR ROJAS HERAZO,URBANA,9.52682254847,-75.58214680538,POINT (-75.582146805382 9.52682254847148),"9.52682254847148,-75.582146805382",El Cangrejo,Tolú,Sucre
MEDIO AMBIENTE / DESARROLLO RURAL,OFICINA AMBIENTAL Y AGROPECUARIA,URBANA,9.5228732703,-75.5822426843,POINT (-75.5822426842986 9.52287327029899),"9.52287327029899,-75.5822426842986",Calle Nueva,Tolú,Sucre
